,fecha,cantidad,porcentaje,max_primera,max_segunda,total,reserva,efect,cantidad_acumulado,efectivas_acumulado,reservas_reales
0,2020-12-20,9750.0,0.14,4875.0,0.0,4875.0,4875.0,55.0,9750.0,55.0,9695.0
1,2020-12-27,11700.0,0.3,5850.0,0.0,5850.0,10725.0,2400.0,21450.0,2455.0,18995.0
2,2021-01-03,33150.0,0.77,16575.0,0.0,16575.0,27300.0,7296.0,54600.0,9751.0,44849.0
3,2021-01-10,33150.0,1.23,16575.0,4875.0,21450.0,39000.0,15108.0,87750.0,24859.0,62891.0
4,2021-01-17,16575.0,1.46,8287.5,5850.0,14137.5,41437.5,23269.0,104325.0,48128.0,56197.0
5,2021-01-24,0.0,0.0,0.0,16575.0,16575.0,24862.5,9573.0,104325.0,57701.0,46624.0
6,2021-01-31,0.0,0.0,0.0,16575.0,16575.0,8287.5,17412.0,104325.0,75113.0,29212.0
7,2021-02-07,0.0,0.0,0.0,8287.5,8287.5,0.0,21835.0,104325.0,96948.0,7377.0
8,2021-02-14,79560.0,2.58,39780.0,0.0,39780.0,39780.0,4235.0,183885.0,101183.0,82702.0
9,2021-02-21,92430.0,3.88,46215.0,0.0,46215.0,85995.0,48629.0,276315.0,149812.0,126503.0
10,2021-02-28,109980.0,5.42,54990.0,0.0,54990.0,140985.0,54774.0,386295.0,204586.0,181709.0
11,2021-03-07,86580.0,6.63,43290.0,39780.0,83070.0,144495.0,43496.0,472875.0,248082.0,224793.0
12,2021-03-14,84240.0,7.81,42120.0,46215.0,88335.0,140400.0,64343.0,557115.0,312425.0,244690.0
13,2021-03-21,119340.0,9.48,59670.0,54990.0,114660.0,145080.0,71930.0,676455.0,384355.0,292100.0
14,2021-03-28,73710.0,0.0,36855.0,43290.0,80145.0,138645.0,75424.0,750165.0,459779.0,290386.0
15,2021-04-04,159030.0,0.0,79515.0,42120.0,121635.0,176040.0,127020.0,909195.0,586799.0,322396.0
16,2021-04-11,113490.0,0.0,56745.0,59670.0,116415.0,173115.0,111528.0,1022685.0,698327.0,324358.0
17,2021-04-18,118170.0,0.0,59085.0,36855.0,95940.0,195345.0,120577.0,1140855.0,818904.0,321951.0
18,2021-04-25,117000.0,0.0,58500.0,57915.0,116415.0,195930.0,131368.0,1257855.0,950272.0,307583.0
19,2021-05-02,124020.0,0.0,62010.0,56745.0,118755.0,201195.0,143679.0,1381875.0,1093951.0,287924.0
20,2021-05-09,212820.0,0.0,106410.0,0.0,106410.0,307605.0,157969.0,1594695.0,1251920.0,342775.0
21,2021-05-16,378330.0,0.0,189165.0,0.0,189165.0,496770.0,205902.0,1973025.0,1457822.0,515203.0
22,2021-05-23,175500.0,0.0,87750.0,0.0,87750.0,584520.0,200883.0,2148525.0,1658705.0,489820.0
23,2021-05-30,279652.0,0.0,139826.0,0.0,139826.0,724346.0,247492.0,2428177.0,1906197.0,521980.0
24,2021-06-06,79560.0,0.0,39780.0,0.0,39780.0,494126.0,244343.0,2507737.0,2150540.0,357197.0
25,2021-06-13,80730.0,0.0,40365.0,0.0,40365.0,534491.0,180510.0,2588467.0,2331050.0,257417.0
26,2021-06-20,121680.0,0.0,60840.0,0.0,60840.0,595331.0,109355.0,2710147.0,2440405.0,269742.0
27,2021-06-27,80730.0,0.0,40365.0,0.0,40365.0,635696.0,81410.0,2790877.0,2521815.0,269062.0
28,2021-07-04,52650.0,0.0,26325.0,0.0,26325.0,662021.0,84996.0,2843527.0,2606811.0,236716.0
